"2018-09-01" 490 216 333
"2018-09-02" 303 895 402
"2018-09-03" 177 830 221
"2018-09-04" 674 840 550
"2018-09-05" 488 852 822
"2018-09-06" 166 760 404
"2018-09-07" 823 985 559
"2018-09-08" 393 676 545
"2018-09-09" 782 695 818
"2018-09-10" 626 576 611
"2018-09-11" 738 386 197
"2018-09-12" 485 792 827
"2018-09-13" 410 574 611
"2018-09-14" 784 760 292
"2018-09-15" 482 377 775
"2018-09-16" 605 464 377
"2018-09-17" 205 284 541
"2018-09-18" 373 988 991
"2018-09-19" 531 610 482
"2018-09-20" 411 353 320
"2018-09-21" 641 267 296
"2018-09-22" 169 783 721
"2018-09-23" 961 611 983
"2018-09-24" 120 939 530
"2018-09-25" 858 675 797
"2018-09-26" 670 731 617
"2018-09-27" 380 532 970
"2018-09-28" 769 866 818
"2018-09-29" 676 481 579
"2018-09-30" 994 129 637
